Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,,,,,,0,0,0
07.11.2024,,,,,,0,0,0
06.11.2024,,,,,,0,0,0
05.11.2024,,,,,,0,0,0
