Field,Value
Датум,16.1.2025
Вкупен промет-МКД,49.981.674
Официјален пазар,49.921.674
Редовен пазар,60.000
Блок трансакции,0
Трансакции,231
Капитализација котирани акции (МКД),351.248.075.641
Добитници,12
Губитници,5
Без промена,1
