Шифра,Просечна цена,% пром.,Промет во БЕСТ
ALK,"29.987,45","2,38",25.879.169
KMB,"30.385,81","1,22",15.770.234
REPL,"16.339,02","-0,37",2.679.600
MPT,"99.099,96","4,31",2.477.499
STB,"2.857,98","-1,42",1.146.050
TNB,"59.041,67","0,93",708.500
TTK,"2.069,88","1,14",343.600
TEL,"409,67","0,04",272.840
RMDEN17,"91,00","1,11",152.652
UNI,"7.050,00","0,71",141.000
