Шифра,Просечна цена,% пром.,Промет во БЕСТ
STB,"2.901,18","5,75",18.010.543
KMB,"28.287,40","0,08",15.020.611
ALK,"28.295,92","-0,03",14.798.767
TEL,"400,00","0,00",3.600.000
MPT,"92.788,89","0,31",2.505.300
GRNT,"1.804,95","0,53",1.732.750
TTK,"1.950,00","0,00",1.281.150
RMDEN22,"89,00","0,00",875.632
REPL,"16.500,00","0,10",726.000
TNB,"56.449,92","0,80",677.399
