Field,Value
Датум,27.12.2024
Вкупен промет-МКД,61.637.632
Официјален пазар,59.637.632
Редовен пазар,0
Блок трансакции,2.000.000
Трансакции,237
Капитализација котирани акции (МКД),340.325.089.870
Добитници,7
Губитници,2
Без промена,5
